Placed Component Report
/home/amu4/spinnaker/PCB/spinnaker2_test_pcb_lib/bunnybot/physical/bunny14.brd
Wed Oct  5 14:35:53 2011
Total Placed Components:  189
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C1,SM_CAP_0402,,,0402_CASE,33.0000,27.0000,180.000,NO
C2,SM_CAP_0402,,,0402_CASE,12.0000,23.0000,0.000,NO
C3,SM_CAP_0402,,,0402_CASE,36.0000,23.0000,0.000,NO
C4,SM_DECOUPLE,,,SMDDECOUP,35.9918,16.9418,270.000,NO
C5,SM_CAP_POL_D_CASE,,,D_CASE,26.8224,8.2550,90.000,NO
C6,SM_DECOUPLE,,,SMDDECOUP,16.0000,-1.0000,90.000,NO
C7,SM_DECOUPLE,,,SMDDECOUP,16.0000,-6.0000,90.000,NO
C8,SM_CAP_0805,,,0805_CASE,35.0000,-14.0000,90.000,NO
C9,SM_DECOUPLE,,,SMDDECOUP,31.0000,-14.0000,90.000,NO
C10,SM_CAP_0402,,,0402_CASE,19.0000,-16.0000,180.000,NO
C11,SM_CAP_0402,,,0402_CASE,22.0000,-16.0000,0.000,NO
C12,SM_CAP_POL_0805,,,0805_POL,16.0000,-19.0000,0.000,NO
C13,SM_CAP_0402,,,0402_CASE,12.0000,-20.0000,0.000,NO
C14,SM_CAP_0402,,,0402_CASE,19.0000,-20.0000,180.000,NO
C15,SM_DECOUPLE_1,,,B_DCUP,33.0000,-20.0000,270.000,NO
C16,SM_CAP_0402,,,0402_CASE,12.0000,-22.0000,0.000,NO
C17,SM_CAP_0402,,,0402_CASE,15.0000,-22.0000,0.000,NO
C18,SM_CAP_0402,,,0402_CASE,19.0000,-22.0000,180.000,NO
C19,SM_CAP_POL_D_CASE,,,D_CASE,38.0000,-27.0000,180.000,NO
C20,SM_CAP_0402,,,0402_CASE,20.0000,-33.0000,90.000,NO
C21,SM_CAP_0805,,,0805_CASE,23.0000,-46.0000,270.000,NO
C22,SM_CAP_0805,,,0805_CASE,16.0000,-48.0000,0.000,NO
C23,SM_CAP_0805,,,0805_CASE,10.0000,-52.0000,0.000,NO
C24,SM_CAP_POL_0805,,,0805_POL,19.0000,30.0000,270.000,YES
C25,SM_CAP_0402,,,0402_CASE,5.0000,18.0000,90.000,YES
C26,SM_CAP_0402,,,0402_CASE,2.0000,18.0000,90.000,YES
C27,SM_CAP_0402,,,0402_CASE,-2.0000,18.0000,90.000,YES
C28,SM_CAP_0402,,,0402_CASE,-5.0000,18.0000,90.000,YES
C29,SM_CAP_0402,,,0402_CASE,-9.0000,18.0000,90.000,YES
C30,SM_CAP_0402,,,0402_CASE,-13.0000,18.0000,90.000,YES
C31,SM_CAP_0402,,,0402_CASE,-22.0000,18.0000,90.000,YES
C32,SM_CAP_0402,,,0402_CASE,-25.0000,18.0000,90.000,YES
C33,SM_CAP_0402,,,0402_CASE,-29.0000,18.0000,90.000,YES
C34,SM_CAP_0402,,,0402_CASE,-32.0000,18.0000,90.000,YES
C35,SM_CAP_0402,,,0402_CASE,-36.0000,18.0000,90.000,YES
C36,SM_CAP_0402,,,0402_CASE,-40.0000,18.0000,90.000,YES
C37,SM_CAP_0402,,,0402_CASE,7.0000,16.0000,0.000,YES
C38,SM_CAP_0402,,,0402_CASE,-15.0000,16.0000,180.000,YES
C39,SM_CAP_0402,,,0402_CASE,-20.0000,16.0000,0.000,YES
C40,SM_CAP_0402,,,0402_CASE,-42.0000,16.0000,180.000,YES
C41,SM_CAP_0402,,,0402_CASE,7.0000,12.0000,0.000,YES
C42,SM_CAP_0402,,,0402_CASE,-15.0000,12.0000,180.000,YES
C43,SM_CAP_0402,,,0402_CASE,-20.0000,12.0000,0.000,YES
C44,SM_CAP_0402,,,0402_CASE,-42.0000,12.0000,180.000,YES
C45,SM_CAP_0402,,,0402_CASE,7.0000,8.0000,0.000,YES
C46,SM_CAP_0402,,,0402_CASE,-15.0000,8.0000,180.000,YES
C47,SM_CAP_0402,,,0402_CASE,-20.0000,8.0000,0.000,YES
C48,SM_CAP_0402,,,0402_CASE,-42.0000,8.0000,180.000,YES
C49,SM_CAP_0402,,,0402_CASE,7.0000,5.0000,0.000,YES
C50,SM_CAP_0402,,,0402_CASE,-15.0000,5.0000,180.000,YES
C51,SM_CAP_0402,,,0402_CASE,-20.0000,5.0000,0.000,YES
C52,SM_CAP_0402,,,0402_CASE,-42.0000,5.0000,180.000,YES
C53,SM_CAP_0402,,,0402_CASE,7.0000,1.0000,0.000,YES
C54,SM_CAP_0402,,,0402_CASE,-15.0000,1.0000,180.000,YES
C55,SM_CAP_0402,,,0402_CASE,-20.0000,1.0000,0.000,YES
C56,SM_CAP_0402,,,0402_CASE,-42.0000,1.0000,180.000,YES
C57,SM_CAP_0402,,,0402_CASE,7.0000,-2.0000,0.000,YES
